wells.saudi.chemistry.Borehole|wells.saudi.chemistry.pH|wells.saudi.chemistry.Eh|wells.saudi.chemistry.TDS|wells.saudi.chemistry.Ca|wells.saudi.chemistry.K|wells.saudi.chemistry.Mg|wells.saudi.chemistry.Na|wells.saudi.chemistry.HCO3|wells.saudi.chemistry.Cl|wells.saudi.chemistry.SO4|wells.saudi.chemistry....12|wells.saudi.chemistry.NO3|wells.saudi.chemistry.F|wells.saudi.chemistry.PO4|wells.saudi.chemistry.TH|wells.saudi.chemistry.TA|wells.saudi.chemistry.TS|wells.saudi.chemistry.SS|wells.saudi.chemistry.COD|wells.saudi.chemistry.BOD|wells.saudi.chemistry.DO|wells.saudi.metals.Borehole|wells.saudi.metals.As|wells.saudi.metals.B|wells.saudi.metals.Ba|wells.saudi.metals.Be|wells.saudi.metals.Cd|wells.saudi.metals.Co|wells.saudi.metals.Cr|wells.saudi.metals.Cu|wells.saudi.metals.Fe|wells.saudi.metals.Hg|wells.saudi.metals.Mn|wells.saudi.metals.Mo|wells.saudi.metals.Pb|wells.saudi.metals.Se|wells.saudi.metals.Zn
1|7.5|377|1780|269|19|75|338|226|852|302|NA|42|1.1|0.4|977|185|3320|1540|0.4|1.1|6.7|1|0.2|15.2|7.1|0.3|0.3|0.1|0.5|0.6|93|0.5|0.1|26|2.2|1.5|0.8
2|7.4|382|1456|259|20|68|257|183|710|312|NA|41|1|0.1|925|150|2946|1490|0.2|1.4|6.5|2|0.3|9.4|7.5|0.3|0.4|0.1|0.3|0.6|14|18.7|0.3|14|1.9|1.8|0.6
3|7.4|378|1471|476|35|66|238|189|710|797|NA|40|1.1|0.1|1460|155|2976|1505|0.4|1.9|6.6|3|0.7|9.6|7.1|0.3|0.3|0.2|0.1|0.7|23|58.3|0.1|17|2.2|0.7|0.5
4|7.5|382|1578|374|17|60|226|220|745|413|NA|39|1.1|0.1|1180|180|3144|1566|0.8|1.5|6.7|4|0.2|9.9|6.8|0.4|0.4|0.3|0.4|0.6|2.5|3.9|0.2|24|2.8|1.5|0.3
5|7.7|376|1411|291|7|58|191|214|710|178|NA|40|1.1|0.1|966|175|2906|1495|1|1.4|7|5|0.7|9.1|8.8|0.4|0.3|0.2|0.5|0.7|3.7|20|0.2|11|2.3|0.9|1.6
6|7.8|380|1400|464|3|58|338|159|710|935|NA|40|1|0.1|1400|130|2880|1480|0.4|1.9|6.1|6|0.3|9.3|8.7|0.4|0.3|0.1|0.3|0.5|2|3.2|0.2|27|2.2|0.7|3.6
7|7.6|374|1683|369|17|83|272|128|781|606|NA|42|1|0.1|1261|105|3198|1515|0.8|0.4|6|7|0.3|18.5|9.2|0.4|0.3|0.1|0.6|0.5|4|2.3|0.1|13|2.5|2.3|1.6
8|7.3|377|1184|330|10|42|132|128|568|341|NA|42|1|0.1|998|105|2559|1375|1.2|1.5|7|8|0.6|7|13.9|0.4|0.3|0.1|0.4|0.5|1.2|19.2|0.1|18|2.5|0.9|1.2
9|7.5|370|1784|311|39|73|352|153|781|634|NA|7|1|0.1|1078|125|3240|1456|0.4|1.9|7.5|9|0.2|8.5|3.3|0.3|0.3|0.1|0.3|0.6|2.7|1.9|0.3|31|3|0.1|0.8
10|7.4|367|1319|316|8|59|447|134|639|925|NA|45|1|0.1|1033|110|2820|1501|1|1.7|7.5|10|0.1|8.6|24.6|0.4|0.3|0.2|0.8|0.5|0.8|21.7|0.1|25|2.1|1.5|1.4
